sentence,token_count,gpt2_avg_surprisal,random_baseline_surprisal,surprisal_gap_random_minus_gpt2,gpt2_beats_random
"sentence,depth,length_words,type",10,8.174444198608398,15.617036934287741,7.442592735679343,True
"The young manager that the serious child that the nervous girl admired praised laughed loudly at night.,2,17,synthetic_center_embedding",30,9.217939376831055,15.617036934287741,6.399097557456686,True
"The clever student that the boy saw arrived early at night.,1,11,synthetic_center_embedding",24,8.397001266479492,15.617036934287741,7.220035667808249,True
"The clever cat listened closely during class.,0,7,synthetic_center_embedding",20,9.157937049865723,15.617036934287741,6.459099884422018,True
"The mother that the kind artist watched waited outside before noon.,1,11,synthetic_center_embedding",24,9.729073524475098,15.617036934287741,5.887963409812643,True
"The young teacher that the old singer thanked waited outside at night.,1,12,synthetic_center_embedding",25,8.853537559509277,15.617036934287741,6.763499374778464,True
"The clever actor that the boy that the angry scientist informed called worked quietly in the garden.,2,17,synthetic_center_embedding",30,9.141724586486816,15.617036934287741,6.475312347800925,True
"The happy child walked slowly.,0,5,synthetic_center_embedding",18,8.704764366149902,15.617036934287741,6.912272568137839,True
"The happy cat that the old student that the angry scientist recognized saw waited outside at night.,2,17,synthetic_center_embedding",30,8.946697235107422,15.617036934287741,6.670339699180319,True
"The neighbor that the old child that the angry artist blamed questioned sat calmly at the office.,2,17,synthetic_center_embedding",30,9.147972106933594,15.617036934287741,6.469064827354147,True
"The happy mother cried suddenly at the office.,0,8,synthetic_center_embedding",21,8.327402114868164,15.617036934287741,7.289634819419577,True
"The happy doctor that the tall teacher admired slept peacefully before noon.,1,12,synthetic_center_embedding",25,9.139264106750488,15.617036934287741,6.477772827537253,True
"The angry farmer that the neighbor that the young manager that the old scientist called questioned recognized walked slowly during class.,3,21,synthetic_center_embedding",34,9.35723876953125,15.617036934287741,6.259798164756491,True
"The nervous artist that the kind neighbor that the nervous doctor saw recognized listened closely this morning.,2,17,synthetic_center_embedding",30,9.62539291381836,15.617036934287741,5.991644020469382,True
"The happy student that the tall engineer that the curious driver helped met read carefully during class.,2,17,synthetic_center_embedding",30,9.329174041748047,15.617036934287741,6.287862892539694,True
"The happy doctor that the nervous scientist visited laughed loudly at night.,1,12,synthetic_center_embedding",25,8.909826278686523,15.617036934287741,6.707210655601218,True
"The tall boy that the curious neighbor that the curious engineer questioned visited listened closely before noon.,2,17,synthetic_center_embedding",30,9.75749683380127,15.617036934287741,5.859540100486472,True
"The angry teacher listened closely after dinner.,0,7,synthetic_center_embedding",20,8.728194236755371,15.617036934287741,6.88884269753237,True
"The angry father that the young dog that the happy student that the serious scientist that the happy boy that the angry child recognized reminded supported met saw waited outside in the garden.,5,33,synthetic_center_embedding",46,8.652770042419434,15.617036934287741,6.9642668918683075,True
"The kind mother that the kind neighbor that the serious scientist that the happy artist informed called admired walked slowly this morning.,3,22,synthetic_center_embedding",35,9.45052719116211,15.617036934287741,6.166509743125632,True
"The nervous engineer that the clever engineer that the student that the serious boy admired helped thanked walked slowly after dinner.,3,21,synthetic_center_embedding",34,9.40023422241211,15.617036934287741,6.216802711875632,True
"The happy manager that the tall engineer that the curious manager that the young mother that the artist that the serious singer informed warned visited saw praised sat calmly after dinner.,5,31,synthetic_center_embedding",44,8.920040130615234,15.617036934287741,6.696996803672507,True
"The happy lawyer waited outside at night.,0,7,synthetic_center_embedding",20,8.6604642868042,15.617036934287741,6.956572647483542,True
"The quiet father that the serious girl met read carefully this morning.,1,12,synthetic_center_embedding",25,9.058784484863281,15.617036934287741,6.55825244942446,True
"The kind doctor that the old child that the clever cat that the father that the curious teacher saw helped supported met rested briefly after dinner.,4,26,synthetic_center_embedding",39,9.289602279663086,15.617036934287741,6.327434654624655,True
"The old father that the clever cat encouraged sat calmly.,1,10,synthetic_center_embedding",23,9.87536334991455,15.617036934287741,5.74167358437319,True
"The kind artist that the young student that the angry doctor that the girl that the angry lawyer that the young mother informed encouraged greeted informed thanked stood silently.,5,29,synthetic_center_embedding",42,9.064156532287598,15.617036934287741,6.552880402000143,True
"The curious doctor stood silently at night.,0,7,synthetic_center_embedding",20,8.85360050201416,15.617036934287741,6.763436432273581,True
"The curious father that the kind dog that the happy mother that the angry artist thanked saw watched slept peacefully this morning.,3,22,synthetic_center_embedding",35,9.1445951461792,15.617036934287741,6.472441788108542,True
"The tall engineer that the angry lawyer that the curious student called thanked ran away this morning.,2,17,synthetic_center_embedding",30,8.996459007263184,15.617036934287741,6.6205779270245575,True
"The curious engineer that the curious student that the happy scientist that the nervous dog that the old engineer questioned chased warned blamed cried suddenly at the office.,4,28,synthetic_center_embedding",41,9.051912307739258,15.617036934287741,6.565124626548483,True
"The kind dog arrived early at the office.,0,8,synthetic_center_embedding",21,8.367598533630371,15.617036934287741,7.24943840065737,True
"The clever neighbor that the quiet singer followed rested briefly in the garden.,1,13,synthetic_center_embedding",26,9.237930297851562,15.617036934287741,6.379106636436179,True
"The quiet driver that the old father met ran away at night.,1,12,synthetic_center_embedding",25,8.499576568603516,15.617036934287741,7.1174603656842255,True
"The nervous mother that the happy manager greeted stood silently.,1,10,synthetic_center_embedding",23,9.56670093536377,15.617036934287741,6.050335998923972,True
"The clever doctor that the serious manager that the young father that the nervous cat reminded reminded visited read carefully at night.,3,22,synthetic_center_embedding",35,9.649627685546875,15.617036934287741,5.967409248740866,True
"The angry singer that the clever engineer thanked waited outside during class.,1,12,synthetic_center_embedding",25,9.722908020019531,15.617036934287741,5.89412891426821,True
"The serious singer that the nervous dog that the curious lawyer warned visited spoke softly yesterday.,2,16,synthetic_center_embedding",29,9.9168062210083,15.617036934287741,5.70023071327944,True
